"cty","ZIP","Mode","TOS","Mode.VOMS","total_cap_exp","City","State","Service.Area.Sq.Miles","Sq.Miles","total_op_exp","max_trains","avg_speed","avg_trip_length","pax_per_hr","veh_revenue_hours","veh_revenue_miles","Train.Miles","Train.Hours","Unlinked.Passenger.Trips","Passenger.Miles","Directional.Route.Miles","track_miles_rev","track_miles_nonrev","fixed_guideway_miles","busway_exclusive_miles","control_access_miles","row_total_miles","cbsa","cbsaname","ctyname","spatial_id"
"06013","94564","DR","PT",10,902333,"Pinole","CA",20,524,1545739,0,13.8315,8.7166,2.6481,15287,211442,0,0,40481,352855,0,NA,NA,NA,NA,NA,NA,41860,"San Francisco-Oakland-Hayward, CA","Contra Costa County, CA",41860
"06013","94564","MB","PT",32,445933,"Pinole","CA",20,524,7049141,0,16.6207,7.999,12.4567,70414,1170327,0,0,877124,7016090,109.5,NA,NA,0,0,0,0,41860,"San Francisco-Oakland-Hayward, CA","Contra Costa County, CA",41860
"06015","95548","DR","DO",3,103630,"Klamath","CA",NA,0,381839,0,13.3537,0,3.2313,7487,99979,0,0,24193,0,0,NA,NA,NA,NA,NA,NA,18860,"Crescent City, CA","Del Norte County, CA",18860
"06015","95548","DR","DO",3,9939,"Klamath","CA",NA,0,381839,0,13.3537,0,3.2313,7487,99979,0,0,24193,0,0,NA,NA,NA,NA,NA,NA,18860,"Crescent City, CA","Del Norte County, CA",18860
"06017","95619","CB","DO",12,2988584,"Diamond Springs","CA",1551,471,1753633,0,30.69,31.0031,16.3236,8941,274399,0,0,145949,4524872,110,NA,NA,0,0,0,0,40900,"Sacramento--Roseville--Arden-Arcade, CA","El Dorado County, CA",40900
"06017","95619","DR","DO",15,1258314,"Diamond Springs","CA",1551,471,2511892,0,19.6906,11.0278,2.8845,16869,332161,0,0,48659,536601,0,NA,NA,NA,NA,NA,NA,40900,"Sacramento--Roseville--Arden-Arcade, CA","El Dorado County, CA",40900
"06017","95619","CB","DO",10,463806,"Diamond Springs","CA",1551,471,1753633,0,30.69,31.0031,16.3236,8941,274399,0,0,145949,4524872,110,NA,NA,0,0,0,0,40900,"Sacramento--Roseville--Arden-Arcade, CA","El Dorado County, CA",40900
"06017","95619","DR","DO",15,47542,"Diamond Springs","CA",1551,471,2511892,0,19.6906,11.0278,2.8845,16869,332161,0,0,48659,536601,0,NA,NA,NA,NA,NA,NA,40900,"Sacramento--Roseville--Arden-Arcade, CA","El Dorado County, CA",40900
"06017","95619","MB","DO",7,52846,"Diamond Springs","CA",1551,471,4030651,0,18.6238,9.8037,6.0695,29234,544447,0,0,177436,1739527,41,NA,NA,0,0,0,0,40900,"Sacramento--Roseville--Arden-Arcade, CA","El Dorado County, CA",40900
"06017","95619","MB","DO",8,2833030,"Diamond Springs","CA",1551,471,4030651,0,18.6238,9.8037,6.0695,29234,544447,0,0,177436,1739527,41,NA,NA,0,0,0,0,40900,"Sacramento--Roseville--Arden-Arcade, CA","El Dorado County, CA",40900
"06019","93721","MB","PT",15,377856,"Fresno","CA",NA,NA,1342685,0,21.2782,0,4.9716,18926,402712,0,0,94093,0,0,NA,NA,NA,NA,NA,NA,23420,"Fresno, CA","Fresno County, CA",23420
"06019","93706","MB","DO",98,27764624,"Fresno","CA",133,171,41979373,0,11.5744,2.6561,26.0185,374764,4337684,0,0,9750802,25898642,422.3,NA,NA,0,0,0,0,23420,"Fresno, CA","Fresno County, CA",23420
"06019","93706","MB","DO",89,41969961,"Fresno","CA",133,171,41979373,0,11.5744,2.6561,26.0185,374764,4337684,0,0,9750802,25898642,422.3,NA,NA,0,0,0,0,23420,"Fresno, CA","Fresno County, CA",23420
